Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SBUT A Wing - Murtaza Kapadia,,,,,,,,
,Statement of Material Delivered & Returned,,,,,,,,
,Sr. No.,Challan no.,Date ,H frame,Bracing,Platform,Plate  pipe,Base Jacks,Coupler
,1,31,2026-05-08 00:00:00,105,0,10,80,20,
,2,32,2026-05-09 00:00:00,50,200,0,0,0,
,3,34,2026-05-12 00:00:00,105,200,0,0,8,
,4,35,2026-05-15 00:00:00,110,200,,20,12,
,5,36,2026-05-19 00:00:00,150,276,,,,
,6,37,2026-05-23 00:00:00,50,96,,,,
,7,38,2026-06-04 00:00:00,40,,,,,
,8,39,2026-06-06 00:00:00,,,,,,200
,9,45,2026-07-13 00:00:00,100,100,,35,34,
,10,46,2026-07-14 00:00:00,96,150,,,,
,11,47,2026-07-15 00:00:00,150,150,,10,,
,12,52,2026-07-21 00:00:00,75,180,,50,,
,13,53,2026-07-22 00:00:00,,170,,,,
,Total Material Delivered,,,1031,1722,10,195,74,200
