dataset,operation,iteration,http_status,duration_ms,response_bytes
LARGE,dashboard,1,200,478.6,8099
LARGE,dashboard,2,200,406.9,8099
LARGE,dashboard,3,200,409.7,8099
LARGE,stock_page,1,200,87.8,18122
LARGE,stock_page,2,200,59.9,18122
LARGE,stock_page,3,200,49.4,18122
LARGE,ledger_page,1,200,65.4,15206
LARGE,ledger_page,2,200,63.0,15206
LARGE,ledger_page,3,200,64.0,15206
LARGE,invoice_page,1,200,126.6,59011
LARGE,invoice_page,2,200,86.5,59011
LARGE,invoice_page,3,200,116.8,59011
LARGE,outstanding_report,1,200,178.2,601
LARGE,outstanding_report,2,200,146.6,601
LARGE,outstanding_report,3,200,155.5,601
LARGE,gst_report,1,200,430.8,37823
LARGE,gst_report,2,200,277.0,37823
LARGE,gst_report,3,200,292.2,37823
