item_code,item,category,unit,godown_available,at_sites,damaged,lost,scrapped,current_accountable_stock
MAT-015,1.5m ledger,SCAFFOLDING,PIECE,2534.0000,660.0000,0.0000,0.0000,0.0000,3194.0000
MAT-012,1.5m vertical,SCAFFOLDING,PIECE,150.0000,630.0000,0.0000,0.0000,0.0000,780.0000
MAT-036,10f ladder,SCAFFOLDING,PIECE,0.0000,25.0000,0.0000,0.0000,0.0000,25.0000
MAT-034,10ft chaneel,SCAFFOLDING,PIECE,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000
MAT-023,10ft pipe,SCAFFOLDING,PIECE,850.0000,312.0000,0.0000,0.0000,0.0000,1162.0000
MAT-018,1150m ledger,SCAFFOLDING,PIECE,2450.0000,736.0000,0.0000,0.0000,0.0000,3186.0000
MAT-017,1450m ledger,SCAFFOLDING,PIECE,1553.0000,835.0000,0.0000,0.0000,0.0000,2388.0000
MAT-016,1480m Ledger,SCAFFOLDING,PIECE,300.0000,0.0000,0.0000,0.0000,0.0000,300.0000
MAT-014,1850m ledger,SCAFFOLDING,PIECE,420.0000,300.0000,0.0000,0.0000,0.0000,720.0000
MAT-019,1m ledger,SCAFFOLDING,PIECE,0.0000,1384.0000,0.0000,0.0000,0.0000,1384.0000
MAT-011,1m vertical,SCAFFOLDING,PIECE,150.0000,200.0000,0.0000,0.0000,0.0000,350.0000
MAT-009,2.5m vertical,SCAFFOLDING,PIECE,120.0000,275.0000,0.0000,0.0000,0.0000,395.0000
MAT-039,20ft Aluminium Ladder,SCAFFOLDING,PIECE,5.0000,0.0000,0.0000,0.0000,0.0000,5.0000
MAT-022,20ft pipe,SCAFFOLDING,PIECE,408.0000,34.0000,0.0000,0.0000,0.0000,442.0000
MAT-013,2m ledger,SCAFFOLDING,PIECE,1270.0000,965.0000,0.0000,0.0000,0.0000,2235.0000
MAT-010,2m vertical,SCAFFOLDING,PIECE,1110.0000,520.0000,0.0000,0.0000,0.0000,1630.0000
MAT-008,3m vertical,SCAFFOLDING,PIECE,1020.0000,1129.0000,0.0000,0.0000,0.0000,2149.0000
MAT-005,6ft Bracing,SCAFFOLDING,PIECE,205.0000,0.0000,0.0000,0.0000,0.0000,205.0000
MAT-004,7.5 ft Bracings,SCAFFOLDING,PIECE,2230.0000,3822.0000,0.0000,0.0000,2.0000,6052.0000
MAT-040,7.5 ft Iron Ladder,SCAFFOLDING,PIECE,23.0000,0.0000,0.0000,0.0000,0.0000,23.0000
MAT-006,7ft Bracing,SCAFFOLDING,PIECE,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000
MAT-032,7ft pipe,SCAFFOLDING,PIECE,130.0000,26.0000,0.0000,0.0000,0.0000,156.0000
MAT-033,8ft & 10ft plate pipe,SCAFFOLDING,PIECE,200.0000,221.0000,0.0000,0.0000,0.0000,421.0000
MAT-035,8ft & 10ft plate pipe (Source Sr 35),SCAFFOLDING,PIECE,0.0000,20.0000,0.0000,0.0000,0.0000,20.0000
MAT-024,8ft pipe,SCAFFOLDING,PIECE,0.0000,6.0000,0.0000,0.0000,0.0000,6.0000
MAT-020,950m Ledger,SCAFFOLDING,PIECE,0.0000,500.0000,0.0000,0.0000,0.0000,500.0000
MAT-021,980m ledger,SCAFFOLDING,PIECE,2595.0000,1527.0000,0.0000,0.0000,0.0000,4122.0000
MAT-026,Base jack,SCAFFOLDING,PIECE,1150.0000,812.0000,0.0000,0.0000,0.0000,1962.0000
MAT-031,Castor wheel,SCAFFOLDING,PIECE,0.0000,4.0000,0.0000,0.0000,0.0000,4.0000
MAT-027,Coupler,SCAFFOLDING,PIECE,0.0000,1182.0000,0.0000,0.0000,0.0000,1182.0000
MAT-003,Damage H frame,SCAFFOLDING,PIECE,250.0000,0.0000,0.0000,0.0000,0.0000,250.0000
MAT-001,H frames,SCAFFOLDING,PIECE,1427.0000,2169.0000,11.0000,11.0000,0.0000,3607.0000
MAT-029,Joint pins,SCAFFOLDING,PIECE,800.0000,1674.0000,0.0000,0.0000,0.0000,2474.0000
MAT-041,Ladder coupler,SCAFFOLDING,PIECE,0.0000,100.0000,0.0000,0.0000,0.0000,100.0000
MAT-037,Ladder pipe,SCAFFOLDING,PIECE,30.0000,0.0000,0.0000,0.0000,0.0000,30.0000
MAT-038,Ladder steps,SCAFFOLDING,PIECE,112.0000,0.0000,0.0000,0.0000,0.0000,112.0000
MAT-002,Out size H frame,SCAFFOLDING,PIECE,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000
MAT-007,Platforms,SCAFFOLDING,PIECE,900.0000,917.0000,0.0000,0.0000,0.0000,1817.0000
MAT-030,Props,SCAFFOLDING,PIECE,260.0000,6.0000,0.0000,0.0000,0.0000,266.0000
MAT-028,Spiggot pin,SCAFFOLDING,PIECE,1400.0000,0.0000,0.0000,0.0000,0.0000,1400.0000
MAT-042,Toe board,SCAFFOLDING,PIECE,0.0000,50.0000,0.0000,0.0000,0.0000,50.0000
MAT-025,U jack,SCAFFOLDING,PIECE,700.0000,0.0000,0.0000,0.0000,0.0000,700.0000
